1	2026-09-21T17:43:07.053802973-0400	192.168.199.128	55170	192.168.199.2	53	0x1865	example.com	1
3	2026-09-21T17:43:07.130276185-0400	192.168.199.128	47703	192.168.199.2	53	0xd754	example.com	28
5	2026-09-21T17:43:09.195283786-0400	192.168.199.128	36831	192.168.199.2	53	0x895d	google.com	1
