2	2026-09-21T17:43:07.089287833-0400	192.168.199.2	53	192.168.199.128	55170	0x1865	0	2	172.66.147.243,104.20.23.154		5,5
4	2026-09-21T17:43:09.166353051-0400	192.168.199.2	53	192.168.199.128	47703	0xd754	0	2		2606:4700:10::ac42:93f3,2606:4700:10::6814:179a	5,5
6	2026-09-21T17:43:09.219791933-0400	192.168.199.2	53	192.168.199.128	36831	0x895d	0	1	142.251.142.14		5
