4	2026-09-08T01:32:10.605664745-0400	463	1
6	2026-09-08T01:32:10.610729078-0400	491	1
8	2026-09-08T01:32:10.837300360-0400	463	464
9	2026-09-08T01:32:10.837683862-0400	13520	492
11	2026-09-08T01:32:10.866501228-0400	458	927
12	2026-09-08T01:32:10.866681778-0400	527	14012
