6	2026-09-08T01:32:10.610729078-0400	0	200	text/html	155
9	2026-09-08T01:32:10.837683862-0400	0	200	image/jpeg	13232
12	2026-09-08T01:32:10.866681778-0400	0	404	text/html; charset=iso-8859-1	311
