1	2026-09-08T01:32:10.597350427-0400	0	0	0	0x0002
2	2026-09-08T01:32:10.597382768-0400	0	0	1	0x0012
3	2026-09-08T01:32:10.597409911-0400	0	1	1	0x0010
4	2026-09-08T01:32:10.605664745-0400	463	1	1	0x0018
5	2026-09-08T01:32:10.605961543-0400	0	1	464	0x0010
6	2026-09-08T01:32:10.610729078-0400	491	1	464	0x0018
7	2026-09-08T01:32:10.610759535-0400	0	464	492	0x0010
8	2026-09-08T01:32:10.837300360-0400	463	464	492	0x0018
9	2026-09-08T01:32:10.837683862-0400	13520	492	927	0x0018
10	2026-09-08T01:32:10.837695862-0400	0	927	14012	0x0010
11	2026-09-08T01:32:10.866501228-0400	458	927	14012	0x0018
12	2026-09-08T01:32:10.866681778-0400	527	14012	1385	0x0018
13	2026-09-08T01:32:10.913542152-0400	0	1385	14539	0x0010
14	2026-09-08T01:32:15.872525378-0400	0	14539	1385	0x0011
15	2026-09-08T01:32:15.873272331-0400	0	1385	14540	0x0011
16	2026-09-08T01:32:15.873340149-0400	0	14540	1386	0x0010
