1	2023-03-11T22:22:03.059513401-0500	00:1b:17:00:0a:30	136.160.215.1	00:1b:17:00:0a:30	136.160.215.1
2	2023-03-11T22:22:38.192015486-0500	00:1b:17:00:0a:30	136.160.215.1	00:1b:17:00:0a:30	136.160.215.199
3	2023-03-11T22:22:44.903581555-0500	00:50:56:86:cb:fc	136.160.215.15	00:50:56:86:cb:fc	136.160.215.194
5	2023-03-11T22:22:49.943023192-0500	00:50:56:86:02:65	136.160.215.194	00:50:56:86:02:65	136.160.215.15
7	2023-03-11T22:23:03.059262685-0500	00:1b:17:00:0a:30	136.160.215.1	00:1b:17:00:0a:30	136.160.215.1
8	2023-03-11T22:23:06.191965551-0500	00:1b:17:00:0a:30	136.160.215.1	00:1b:17:00:0a:30	136.160.215.183
