1	2026-09-11T07:04:05.246112689-0400	127.0.0.1	40064	127.0.0.1	80	0x0002	0	0
2	2026-09-11T07:04:05.247414320-0400	127.0.0.1	80	127.0.0.1	40064	0x0012	0	1
3	2026-09-11T07:04:05.248080268-0400	127.0.0.1	40064	127.0.0.1	80	0x0010	1	1
4	2026-09-11T07:04:05.250362575-0400	127.0.0.1	40064	127.0.0.1	80	0x0018	1	1
5	2026-09-11T07:04:05.251420253-0400	127.0.0.1	80	127.0.0.1	40064	0x0010	1	74
6	2026-09-11T07:04:05.320450638-0400	127.0.0.1	80	127.0.0.1	40064	0x0018	1	74
7	2026-09-11T07:04:05.320480463-0400	127.0.0.1	40064	127.0.0.1	80	0x0010	74	10959
8	2026-09-11T07:04:05.322793110-0400	127.0.0.1	40064	127.0.0.1	80	0x0011	74	10959
9	2026-09-11T07:04:05.324173605-0400	127.0.0.1	80	127.0.0.1	40064	0x0011	10959	75
10	2026-09-11T07:04:05.324382408-0400	127.0.0.1	40064	127.0.0.1	80	0x0010	75	10960
