6	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
8	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
9	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
10	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
12	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
13	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
14	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
16	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
17	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
18	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
20	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
21	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
22	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
24	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
25	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
26	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
28	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
29	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
30	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
32	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
33	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
34	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
36	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
37	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
38	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
40	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
41	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
42	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
44	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
45	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
46	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
48	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
49	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
50	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
56	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
57	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
58	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
60	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
61	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
62	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
64	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
65	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
66	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
68	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
69	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
70	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
72	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
73	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
74	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
80	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
81	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
82	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
98	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
99	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
100	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
104	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
105	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
106	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
108	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
109	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
110	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
112	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
113	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
114	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
116	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
117	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
118	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
120	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
121	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
122	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
124	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
125	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
126	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
128	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
129	192.168.199.2	00:0c:29:f3:f7:44	192.168.199.129
130	192.168.199.129	00:0c:29:f3:f7:44	192.168.199.2
132	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
133	192.168.199.2	00:50:56:ff:50:a0	192.168.199.129
135	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.128
136	192.168.199.129	00:0c:29:aa:6a:fa	192.168.199.2
