===== ALLOWED CAPTURE =====
1	0.000000000	127.0.0.1	40342	127.0.0.1	80	0x0002			
2	0.000017229	127.0.0.1	80	127.0.0.1	40342	0x0012			
4	0.000694721	127.0.0.1	40342	127.0.0.1	80	0x0018		/firewall_lab.html	
6	0.003783026	127.0.0.1	80	127.0.0.1	40342	0x0018		/firewall_lab.html	200

===== BLOCKED CAPTURE =====
1	0.000000000	192.168.199.128	42398	192.168.199.128	80	0x0002			
2	1.014729247	192.168.199.128	42398	192.168.199.128	80	0x0002	1		
3	2.038070926	192.168.199.128	42398	192.168.199.128	80	0x0002	1		
4	3.061912815	192.168.199.128	42398	192.168.199.128	80	0x0002	1		
5	4.085976244	192.168.199.128	42398	192.168.199.128	80	0x0002	1		
6	5.110809081	192.168.199.128	42398	192.168.199.128	80	0x0002	1		
7	7.126220022	192.168.199.128	42398	192.168.199.128	80	0x0002	1		
